pizza_name_id,order_date,daily_sales
bbq_ckn_l,2015-01-01,6
bbq_ckn_l,2015-01-02,2
bbq_ckn_l,2015-01-03,3
bbq_ckn_l,2015-01-04,5
bbq_ckn_l,2015-01-05,1
bbq_ckn_l,2015-01-06,2
bbq_ckn_l,2015-01-07,2
bbq_ckn_l,2015-01-08,3
bbq_ckn_l,2015-01-09,1
bbq_ckn_l,2015-01-10,3
bbq_ckn_l,2015-01-11,1
bbq_ckn_l,2015-01-12,4
bbq_ckn_l,2015-01-13,4
bbq_ckn_l,2015-01-14,2
bbq_ckn_l,2015-01-15,3
bbq_ckn_l,2015-01-16,3
bbq_ckn_l,2015-01-17,7
bbq_ckn_l,2015-01-18,2
bbq_ckn_l,2015-01-19,3
bbq_ckn_l,2015-01-21,1
bbq_ckn_l,2015-01-22,2
bbq_ckn_l,2015-01-23,3
bbq_ckn_l,2015-01-24,1
bbq_ckn_l,2015-01-25,5
bbq_ckn_l,2015-01-26,1
bbq_ckn_l,2015-01-27,4
bbq_ckn_l,2015-01-28,9
bbq_ckn_l,2015-01-29,5
bbq_ckn_l,2015-01-30,5
bbq_ckn_l,2015-01-31,1
bbq_ckn_l,2015-02-01,4
bbq_ckn_l,2015-02-02,2
bbq_ckn_l,2015-02-03,1
bbq_ckn_l,2015-02-04,5
bbq_ckn_l,2015-02-05,4
bbq_ckn_l,2015-02-06,4
bbq_ckn_l,2015-02-07,1
bbq_ckn_l,2015-02-08,1
bbq_ckn_l,2015-02-09,2
bbq_ckn_l,2015-02-10,4
bbq_ckn_l,2015-02-12,4
bbq_ckn_l,2015-02-13,9
bbq_ckn_l,2015-02-14,5
bbq_ckn_l,2015-02-15,3
bbq_ckn_l,2015-02-16,1
bbq_ckn_l,2015-02-17,3
bbq_ckn_l,2015-02-18,1
bbq_ckn_l,2015-02-19,1
bbq_ckn_l,2015-02-20,3
bbq_ckn_l,2015-02-21,5
bbq_ckn_l,2015-02-22,2
bbq_ckn_l,2015-02-23,3
bbq_ckn_l,2015-02-24,4
bbq_ckn_l,2015-02-25,1
bbq_ckn_l,2015-02-26,1
bbq_ckn_l,2015-02-27,4
bbq_ckn_l,2015-02-28,3
bbq_ckn_l,2015-03-01,2
bbq_ckn_l,2015-03-02,3
bbq_ckn_l,2015-03-03,2
bbq_ckn_l,2015-03-04,7
bbq_ckn_l,2015-03-05,2
bbq_ckn_l,2015-03-06,3
bbq_ckn_l,2015-03-07,4
bbq_ckn_l,2015-03-08,4
bbq_ckn_l,2015-03-09,2
bbq_ckn_l,2015-03-10,3
bbq_ckn_l,2015-03-11,1
bbq_ckn_l,2015-03-12,6
bbq_ckn_l,2015-03-13,2
bbq_ckn_l,2015-03-14,2
bbq_ckn_l,2015-03-15,2
bbq_ckn_l,2015-03-16,1
bbq_ckn_l,2015-03-17,5
bbq_ckn_l,2015-03-18,4
bbq_ckn_l,2015-03-19,5
bbq_ckn_l,2015-03-20,2
bbq_ckn_l,2015-03-21,1
bbq_ckn_l,2015-03-22,2
bbq_ckn_l,2015-03-23,6
bbq_ckn_l,2015-03-24,2
bbq_ckn_l,2015-03-25,2
bbq_ckn_l,2015-03-26,2
bbq_ckn_l,2015-03-27,4
bbq_ckn_l,2015-03-28,2
bbq_ckn_l,2015-03-29,3
bbq_ckn_l,2015-03-30,5
bbq_ckn_l,2015-03-31,7
bbq_ckn_l,2015-04-02,3
bbq_ckn_l,2015-04-03,2
bbq_ckn_l,2015-04-04,1
bbq_ckn_l,2015-04-05,1
bbq_ckn_l,2015-04-06,1
bbq_ckn_l,2015-04-07,5
bbq_ckn_l,2015-04-08,3
bbq_ckn_l,2015-04-09,4
bbq_ckn_l,2015-04-10,1
bbq_ckn_l,2015-04-11,7
bbq_ckn_l,2015-04-12,2
bbq_ckn_l,2015-04-13,5
bbq_ckn_l,2015-04-14,3
bbq_ckn_l,2015-04-15,2
bbq_ckn_l,2015-04-16,2
bbq_ckn_l,2015-04-17,4
bbq_ckn_l,2015-04-18,5
bbq_ckn_l,2015-04-19,1
bbq_ckn_l,2015-04-20,2
bbq_ckn_l,2015-04-21,2
bbq_ckn_l,2015-04-22,2
bbq_ckn_l,2015-04-23,3
bbq_ckn_l,2015-04-24,4
bbq_ckn_l,2015-04-25,6
bbq_ckn_l,2015-04-27,5
bbq_ckn_l,2015-04-28,2
bbq_ckn_l,2015-04-30,7
bbq_ckn_l,2015-05-01,2
bbq_ckn_l,2015-05-03,3
bbq_ckn_l,2015-05-04,3
bbq_ckn_l,2015-05-05,2
bbq_ckn_l,2015-05-06,2
bbq_ckn_l,2015-05-07,5
bbq_ckn_l,2015-05-08,1
bbq_ckn_l,2015-05-09,3
bbq_ckn_l,2015-05-10,2
bbq_ckn_l,2015-05-11,5
bbq_ckn_l,2015-05-12,2
bbq_ckn_l,2015-05-13,1
bbq_ckn_l,2015-05-14,2
bbq_ckn_l,2015-05-15,4
bbq_ckn_l,2015-05-16,7
bbq_ckn_l,2015-05-18,4
bbq_ckn_l,2015-05-19,4
bbq_ckn_l,2015-05-20,4
bbq_ckn_l,2015-05-21,5
bbq_ckn_l,2015-05-22,6
bbq_ckn_l,2015-05-23,3
bbq_ckn_l,2015-05-25,2
bbq_ckn_l,2015-05-26,5
bbq_ckn_l,2015-05-27,1
bbq_ckn_l,2015-05-28,2
bbq_ckn_l,2015-05-29,3
bbq_ckn_l,2015-05-30,6
bbq_ckn_l,2015-06-01,1
bbq_ckn_l,2015-06-02,3
bbq_ckn_l,2015-06-03,2
bbq_ckn_l,2015-06-04,1
bbq_ckn_l,2015-06-05,2
bbq_ckn_l,2015-06-06,2
bbq_ckn_l,2015-06-08,3
bbq_ckn_l,2015-06-09,2
bbq_ckn_l,2015-06-10,3
bbq_ckn_l,2015-06-11,2
bbq_ckn_l,2015-06-12,1
bbq_ckn_l,2015-06-14,2
bbq_ckn_l,2015-06-15,4
bbq_ckn_l,2015-06-16,2
bbq_ckn_l,2015-06-17,1
bbq_ckn_l,2015-06-18,8
bbq_ckn_l,2015-06-19,3
bbq_ckn_l,2015-06-21,1
bbq_ckn_l,2015-06-22,5
bbq_ckn_l,2015-06-23,2
bbq_ckn_l,2015-06-24,4
bbq_ckn_l,2015-06-25,1
bbq_ckn_l,2015-06-26,3
bbq_ckn_l,2015-06-27,6
bbq_ckn_l,2015-06-29,1
bbq_ckn_l,2015-06-30,3
bbq_ckn_l,2015-07-01,4
bbq_ckn_l,2015-07-02,2
bbq_ckn_l,2015-07-03,7
bbq_ckn_l,2015-07-04,5
bbq_ckn_l,2015-07-05,3
bbq_ckn_l,2015-07-06,4
bbq_ckn_l,2015-07-07,2
bbq_ckn_l,2015-07-08,3
bbq_ckn_l,2015-07-09,3
bbq_ckn_l,2015-07-10,3
bbq_ckn_l,2015-07-11,2
bbq_ckn_l,2015-07-12,1
bbq_ckn_l,2015-07-13,3
